picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,dy1stmax,R,w,L,VW
2288,4.28,nan,nan,nan30.7,3.98,nan,nan,nan31.01,4465,90,281.9,1.9,71.31,nan,nan,488,,1741,,2548
2292,5.02,nan,nan,44.66,5.16,nan,nan,45.28,4465,90,288.6,4.9,77.9,nan,nan,459,,1784,,2710
2308,4.57,5.9,84,41.74,4.72,5.9,122,39.64,4464,90,288.6,2.1,82.192,nan,nan,429,4098,1823,,2900
2272,5.46,nan,nan,52.79,5.46,nan,nan,52.03,4465,90,299.6,2.3,81,nan,nan,495,,2072,,2883
2424,5.46,6.93,122,53.42,5.46,6.93,150,52.48,4465,90,326.3,2.9,87.388,nan,nan,424,,2298,,3276
2456,5.02,6.93,108,49.43,5.61,7.23,109,48.95,4465,90,336.3,4.1,83.49,nan,nan,429,,2169,,3174
2304,5.46,7.23,175,53.3,5.61,7.38,186,53.1,4464,90,343.02,5.83,85.53,nan,nan,372,4148,2217,,3270
2336,5.61,6.94,80,52.51,5.61,6.94,111,52.28,4464,90,352.8,2.6,84.88,nan,nan,494,,2272,,3232
2284,5.75,7.52,160,55.77,5.75,7.82,191,55.48,4465,90,369.3,3.18,79.96,60.28,nan,364,4691,2294,764,3325
2349,5.75,7.52,163,56.8,6.05,7.82,194,56.4,4464,90,369.4,3.1,97.07,nan,nan,389,4181,2345,796,3341
2377,6.04,7.82,175,59.07,6.04,7.82,246,58.85,4464,90,378.3,4.2,82.92,nan,nan,1347,4012,2316,,
2393,5.61,7.52,225,56.33,5.9,7.52,249,55.98,4464,90,391.1,3.6,91.26,68.92,nan,263,,2343,708,3474
2406,5.61,7.52,292,59.75,5.75,7.82,344,59.55,4465,90,424.8,5.3,87.54,nan,nan,1159,3648,2437,,3599
2420,6.34,8.7,250,61.44,6.2,8.26,341,61.32,4465,90,431,6.9,118.57,isolated,nan,420,3993,2420,848,3533
2385,5.75,7.52,293,59.91,5.9,7.82,328,59.86,4464,90,431.4,5.2,122.25,isolated,nan,436,,2402,788,3573
2472,5.46,7.52,284,59.07,5.75,7.82,293,59.23,4465,90,436.3,6.3,116.1,isolated,nan,305,4708,2532,700,3644
2397,5.75,7.37,nan242,60.62,5.75,7.37,nan275,60.47,4464,90,440.2,5.99,117.2,isolated,nan,748,,nan2500,803,3637
2448,5.75,7.67,308,62.22,5.9,7.96,334,62.09,4465,90,461.9,9.1,131.57,isolated,nan,340,4501,2557,785,3680
2381,6.34,8.26,317,63.53,6.19,8.26,376,63.37,4464,90,465.8,2.7,135.084,isolated,maybe,398,4980,2485,784,3668
2345,5.61,7.52,398,61.99,5.9,7.82,394,62.07,4464,90,466.8,3.6,110.4,isolated,nan,276,4456,2565,786,3679
2452,5.31,6.93,nan526,59.72,5.16,6.93,nan447,58.98,4465,90,468,3.8,117.3,68.89,nan,152,reject2975,reject2230,766,3747
2416,6.2,9,353,66.67,6.2,9,444,66.56,4465,90,506.7,3.1,118.45,maybe,maybe,1482,3139,2515,,3719
2300,7.08,9.29,nan464,66.11,6.93,9.29,nan479,65.84,4464,90,515.7,8.8,120.88,invisible,maybe,408,,nan2363,1500,3668
2277,6.79,9.29,nan550,67.85,6.64,9.29,nan624,67.62,4465,90,543.8,3.5,114.52,invisible,maybe,490,,nan2371,576,3763
2476,6.93,9.45,417,68.95,6.93,9.73,618,68.8,4465,90,561.6,8,112.5,148.1,isolated,-30,3044,2538,454,3972
2411,6.49,9.29,491,68.9,6.34,9.29,623,68.99,4465,90,586.9,6.5,147.74,isolated,maybe,499,2968,2567,,3821
2369,7.23,9.59,nan635,70.93,7.08,9.59,nan666,70.79,4464,90,622.1,4.5,125.33,isolated,maybe,365,reject5984,reject2531,466,3844
