picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
1456,3.84,4.72,114,44.11,3.69,4.72,104,43.07,3920,90.84,215.5,5.3,nan,nan,nan,2405,1516,,2352
1623,3.83,4.87,144,45.81,4.13,5.16,127,44.1,3924,90.79,234.2,5.3,nan,nan,nan,1895,1495,,2503
1447,3.83,4.86,312,52.75,3.98,4.86,255,50.58,3932,90.78,240.2,5.3,nan,nan,nan,2118,1703,,2926
1450,3.83,4.86,304,49.53,3.98,4.86,250,47.83,3940,90.88,251.8,5.3,nan,nan,nan,2233,1760,,2935
1507,3.83,5.16,293,50.44,3.83,5.16,277,49.37,3927,90.19,262.3,5.3,nan,nan,nan,2384,1812,,2975
1510,3.83,5.16,364,55.23,3.98,5.16,310,54.1,3919,90.9,265.8,5.3,nan,nan,nan,2047,1819,,2998
1459,3.98,5.16,304,52.38,4.13,5.31,238,50.8,3932,90.79,266.5,5.3,nan,nan,nan,2258,1781,,2904
1489,3.98,5.46,326,56.75,4.13,5.6,280,54.75,3928,90.97,270.4,5.3,nan,nan,nan,2225,1854,,2911
1471,3.98,5.75,537,61.57,4.13,5.75,421,60.17,3932,90.88,298,5.3,nan,nan,nan,2015,1932,,3191
1474,3.83,5.75,455,59.71,3.98,5.9,353,61.13,3925,90.48,307.9,5.3,nan,nan,nan,2086,1975,,2924
1480,4.43,5.75,424,60.93,4.43,5.75,438,59.47,3933,90.82,315.8,5.3,nan,nan,nan,2138,1974,,3245
1477,3.83,5.75,496,60.2,4.13,6.04,344,58.82,3929,90.53,319.3,5.3,nan,nan,nan,2201,2002,,3148
1463,4.28,6.34,523,63.05,4.86,6.63,416,61.37,3948,90.93,320.4,5.3,nan,nan,nan,2056,1947,,3169
1599,4.13,6.34,665,63.75,4.87,6.64,467,62.05,3924,90.53,349.1,5.3,nan,nan,nan,1925,1997,,3291
1501,3.98,6.64,628,65.46,4.28,6.64,547,64.04,3928,90.56,366.6,5.3,nan,nan,nan,2165,2034,,3235
1566,3.69,5.75,689,63.83,3.98,5.9,562,62.38,3921,90.81,375.2,5.3,nan,nan,nan,2157,2162,,3387
1465,4.13,6.64,513,65.39,4.86,7.23,499,64.02,3933,90.83,376.8,5.3,nan,nan,nan,2164,2057,,3237
1569,4.57,6.49,623,65.32,4.57,6.49,455,63.82,3930,90.71,378.8,5.3,nan,nan,nan,2047,2067,,3318
1504,4.42,6.79,626,65.69,4.57,6.79,601,64.33,3920,90.54,379.1,5.3,nan,nan,nan,2224,2059,,3304
1584,4.87,6.64,712,67.58,4.87,6.78,570,66.28,3922,90.62,407.5,5.3,nan,nan,nan,2118,2111,,3380
1575,4.57,7.96,nan806,70.42,5.31,7.82,nan602,68.45,3927,90.54,438.6,5.3,nan,nan,nan,2836notsure,2089,,3329
1636,4.42,6.93,798,70.53,4.72,7.37,715,68.74,3920,90.87,439.1,5.3,nan,nan,nan,2118,2153,,3386
1543,4.42,7.37,nan912,72,4.57,7.37,nan922,70.42,3910,90.4,457.7,5.3,nan,nan,nan,nan2396,nan2030,,3380
1578,5.02,6.79,875,70.3,5.16,6.93,640,68.97,3921,90.59,460.8,5.3,nan,nan,nan,2103,2149,,3429
1563,4.87,8.7,948,72.03,5.75,8.7,795,70.38,3938,90.59,472.8,5.3,nan,nan,nan,2335,2094,,3346
1593,5.61,7.67,1041,71.81,5.9,7.97,738,70.11,3924,90.64,486,5.3,nan,nan,nan,2048,2099,,3435
1596,5.61,7.82,957,72.68,5.61,8.11,730,71.28,3915,90.84,505.2,5.3,nan,nan,nan,2125,2242,,3465
1498,5.31,6.64,nan734,72.7,5.02,6.79,nan679,71.63,3912,90.58,527.9,5.3,nan,nan,nan,nan2132,nan2205,,3506
1639,5.31,7.97,854,73.05,5.9,7.97,839,71.71,3923,90.76,528.3,5.3,nan,nan,nan,2217,2266,,3440
1651,5.75,8.55,nan1145,74.68,6.34,8.41,nan417,72.85,3923,90.69,549.6,5.3,nan,nan,nan,,nan2370,,3462
1546,4.72,8.11,nan1485,76.55,4.86,8.11,nan1254,75.28,3924,90.38,593.4,5.3,nan,nan,nan,3986notsure,nano2044,,
1648,5.31,9,nan1599,76.52,5.46,9.29,nan1785,74.74,3926,90.96,623.1,5.3,nan,nan,nan,3154notsure,nan1788,,
